# key	provider	plan hint(sub|local|-)  scripts/gen-prices.py
infomaniak	infomaniak	-
integrate.api.nvidia.com	nvidia	-
io-net	io-net	-
iteracompute	iteracompute	-
jalapeno	jalapeno	-
jiekou	jiekou	-
kenari	kenari	-
kenari.id	kenari	-
kilo	kilo	-
kimi-code-plan-cn	kimi-code-plan-cn	sub
kimi-code-plan-global	kimi-code-plan-global	sub
klokintegration	klokintegration	-
kosmik	kosmik	-
kuae-cloud-coding-plan	kuae-cloud-coding-plan	sub
lilac	lilac	-
llama	llama	-
llm.chutes.ai	chutes	-
llm.submodel.ai	submodel	-
llmgateway	llmgateway	-
llmgateway-providers	llmgateway-providers	-
llmtech	llmtech	-
llmtr	llmtr	-
llmtr.com	llmtr	-
lmstudio	local	local
longcat	longcat	-
lucidquery	lucidquery	-
lynkr	lynkr	-
maas-api.ebcloud.com	ebcloud	-
meganova	meganova	-
melious	melious	-
merge-gateway	merge-gateway	-
meta	meta	-
microquickjs.com	ainetcafe	-
minimax	minimax	-
minimax-cn	minimax-cn	-
minimax-cn-coding-plan	minimax-cn-coding-plan	sub
minimax-coding-plan	minimax-coding-plan	sub
mistral	mistral	-
mixlayer	mixlayer	-
moark	moark	-
moark.com	moark	-
modal	modal	-
model-oracle-ai	model-oracle-ai	-
model.inferx.net	inferx	-
model.inferx.net/endpoints	inferx	-
modelis	modelis	-
modelishub.com	modelis	-
models.mixlayer.ai	mixlayer	-
models.think.evroc.com	evroc	-
modelscope	modelscope	-
moonshotai	moonshotai	-
moonshotai-cn	moonshotai-cn	-
morph	morph	-
nan	nan	-
nano-gpt	nano-gpt	-
nano-gpt.com	nano-gpt	-
nano-gpt.com/api	nano-gpt	-
nearai	nearai	-
nebius	nebius	-
neon	neon	-
neosmith	neosmith	-
neuralwatt	neuralwatt	-
nova	nova	-
novita-ai	novita-ai	-
nvidia	nvidia	-
oai.endpoints.kepler.ai.cloud.ovh.net	ovhcloud	-
oci	oci	-
ofox	ofox	-
ollama	local	local
ollama-cloud	ollama-cloud	-
ollama.com	ollama-cloud	-
open.bigmodel.cn	zhipuai	-
open.bigmodel.cn/api/coding/paas	zhipuai-coding-plan	sub
open.bigmodel.cn/api/paas	zhipuai	-
openai	openai	-
openai.blueclaw.network	blueclaw	-
openai.bothub.ru	bothub	-
opencode	opencode	-
opencode-go	opencode-go	-
opencode.ai	opencode	-
opencode.ai/zen	opencode	-
opencode.ai/zen/go	opencode-go	-
openreason	openreason	-
openrouter	openrouter	-
openrouter.ai	openrouter	-
openrouter.ai/api	openrouter	-
opper	opper	-
orcarouter	orcarouter	-
oss	local	local
ovhcloud	ovhcloud	-
pass.wafer.ai	wafer.ai	-
pendra	pendra	-
perplexity	perplexity	-
perplexity-agent	perplexity-agent	-
pioneer	pioneer	-
poe	poe	-
poolside	poolside	-
privatemode-ai	privatemode-ai	-
qihang-ai	qihang-ai	-
qiniu-ai	qiniu-ai	-
qvac	qvac	-
regolo-ai	regolo-ai	-
requesty	requesty	-
routellm.abacus.ai	abacus	-
router.huggingface.co	huggingface	-
router.neosmith.ai	neosmith	-
router.requesty.ai	requesty	-
routing-run	routing-run	-
runinfra	runinfra	-
sakana	sakana	-
salad-cloud	salad-cloud	-
sap-ai-core	sap-ai-core	-
sarvam	sarvam	-
scaleway	scaleway	-
scnet-token-plan	scnet-token-plan	sub
scx-ai	scx-ai	-
sensenova	sensenova	-
siliconflow	siliconflow	-
siliconflow-cn	siliconflow-cn	-
snowflake-cortex	snowflake-cortex	-
stackit	stackit	-
standardcompute	standardcompute	-
stepfun	stepfun	-
stepfun-ai	stepfun-ai	-
stepfun-ai-step-plan	stepfun-ai-step-plan	sub
stepfun-step-plan	stepfun-step-plan	sub
subconscious	subconscious	-
submodel	submodel	-
synthetic	synthetic	-
tempr	tempr	-
tencent-coding-plan	tencent-coding-plan	sub
tencent-token-plan	tencent-token-plan	sub
tencent-tokenhub	tencent-tokenhub	-
tensorx	tensorx	-
the-grid-ai	the-grid-ai	-
thinkingmachines	thinkingmachines	-
tinfoil	tinfoil	-
tinker.thinkingmachines.dev	thinkingmachines	-
tinker.thinkingmachines.dev/services/tinker-prod/anthropic/api	thinkingmachines	-
togetherai	togetherai	-
token-plan-ams.xiaomimimo.com	xiaomi-token-plan-ams	sub
token-plan-cn.xiaomimimo.com	xiaomi-token-plan-cn	sub
token-plan-sgp.xiaomimimo.com	xiaomi-token-plan-sgp	sub
token-plan.ap-southeast-1.maas.aliyuncs.com	alibaba-token-plan	sub
token-plan.ap-southeast-1.maas.aliyuncs.com/compatible-mode	alibaba-token-plan	sub
